"Frecuencia(Hz)	",mm/Seg(PC)
930.7734,0.014112
931.5439,0.019866
932.3145,0.016304
933.085,0.022469
933.8555,0.024661
934.626,0.029731
935.3965,0.040554
936.167,0.042746
936.9375,0.025346
937.708,0.014112
938.4785,0.036718
939.249,0.070148
940.0195,0.070148
940.79,0.033704
941.5605,0.009796
942.3311,0.023154
943.1016,0.020277
943.8721,0.011988
944.6426,0.013427
945.4131,0.012673
946.1836,0.010481
946.9541,0.013084
947.7246,0.013084
948.4951,0.019866
949.2656,0.021373
950.0361,0.015961
950.8066,0.014865
951.5771,0.019866
952.3477,0.025346
953.1182,0.023976
953.8887,0.014865
954.6592,0.013769
955.4297,0.016304
956.2002,0.018085
956.9707,0.015961
957.7412,0.013769
958.5117,0.012673
959.2822,0.013427
960.0527,0.016304
960.8232,0.016304
961.5938,0.01877
962.3643,0.027538
963.1348,0.030142
963.9053,0.029046
964.6758,0.024661
965.4463,0.023154
966.2168,0.024661
966.9873,0.035622
967.7578,0.0833
968.5283,0.134815
969.2988,0.071244
970.0693,0.046034
970.8398,0.038636
971.6104,0.020962
972.3809,0.0174
973.1514,0.020688
973.9219,0.020688
974.6924,0.018085
975.4629,0.0174
976.2334,0.014112
977.0039,0.016304
977.7744,0.015961
978.5449,0.013427
979.3154,0.015619
980.0859,0.014865
980.8564,0.019181
981.627,0.016304
982.3975,0.015208
983.168,0.023154
983.9385,0.022058
984.709,0.03754
985.4795,0.03617
986.25,0.04576
987.0205,0.04576
987.791,0.037266
988.5615,0.035074
989.332,0.033019
990.1025,0.017057
990.873,0.023565
991.6436,0.029731
992.4141,0.025757
993.1846,0.022469
993.9551,0.023976
994.7256,0.02425
995.4961,0.022469
996.2666,0.025072
997.0371,0.019866
997.8076,0.013084
998.5781,0.025757
999.3486,0.050693
1000.119,0.047952
1000.89,0.025346
1001.66,0.036992
1002.431,0.026168
1003.201,0.019866
1003.972,0.01877
1004.742,0.015208
1005.513,0.011577
1006.283,0.013084
1007.054,0.013427
1007.824,0.014865
1008.595,0.018085
1009.365,0.013427
1010.136,0.009796
1010.906,0.010892
1011.677,0.019181
1012.447,0.019181
1013.218,0.058639
1013.988,0.07234
1014.759,0.033019
1015.529,0.04302
1016.3,0.056447
1017.07,0.029046
1017.841,0.0174
1018.611,0.010892
1019.382,0.007604
1020.152,0.010481
1020.923,0.011235
1021.693,0.009796
1022.464,0.012673
1023.234,0.014865
1024.005,0.016304
1024.775,0.010892
1025.546,0.011235
1026.316,0.013084
1027.087,0.011235
1027.857,0.012673
1028.628,0.009385
1029.398,0.013769
1030.169,0.018496
1030.939,0.017057
1031.71,0.011235
1032.48,0.017057
1033.251,0.02425
1034.021,0.055899
1034.792,0.049323
1035.563,0.020277
1036.333,0.011235
