Frecuencia(Hz),"	mm/Seg(PC)"
737.5,0.041924
739.0625,0.040006
740.625,0.050967
742.1875,0.046034
743.75,0.024661
745.3125,0.024661
746.875,0.03617
748.4375,0.03617
750,0.021236
751.5625,0.032608
753.125,0.027127
754.6875,0.035348
756.25,0.050967
757.8125,0.036444
759.375,0.032197
760.9375,0.041102
762.5,0.034115
764.0625,0.043568
765.625,0.051789
767.1875,0.056447
768.75,0.03891
770.3125,0.128787
771.875,1.201279
773.4375,2.262262
775,1.104826
776.5625,0.138103
778.125,0.067408
779.6875,0.04713
781.25,0.038362
782.8125,0.034115
784.375,0.040006
785.9375,0.069052
787.5,0.094809
789.0625,0.082204
790.625,0.054255
792.1875,0.051789
793.75,0.04713
795.3125,0.045486
796.875,0.050967
798.4375,0.046308
800,0.065215
801.5625,0.064393
803.125,0.043568
804.6875,0.064393
806.25,0.069052
807.8125,0.061927
809.375,0.052611
810.9375,0.03754
812.5,0.032608
814.0625,0.040006
815.625,0.035348
817.1875,0.025483
818.75,0.042472
820.3125,0.050145
821.875,0.114538
823.4375,0.10851
825,0.050967
826.5625,0.050967
828.125,0.046308
829.6875,0.040006
831.25,0.055077
832.8125,0.055077
834.375,0.046582
835.9375,0.062749
837.5,0.0833
839.0625,0.058091
840.625,0.049049
842.1875,0.04713
843.75,0.035348
845.3125,0.026305
846.875,0.032197
848.4375,0.058913
850,0.053433
851.5625,0.053433
853.125,0.076724
854.6875,0.072888
856.25,0.047952
857.8125,0.04302
859.375,0.046034
860.9375,0.070696
862.5,0.08604
864.0625,0.087137
865.625,0.07782
867.1875,0.053433
868.75,0.112894
870.3125,0.149064
871.875,0.079464
873.4375,0.050967
875,0.03343
876.5625,0.047952
878.125,0.048227
879.6875,0.030964
881.25,0.04165
882.8125,0.045486
884.375,0.076176
885.9375,0.26415
887.5,0.257573
889.0625,0.098097
890.625,0.041102
892.1875,0.04713
893.75,0.03069
895.3125,0.024661
896.875,0.042746
898.4375,0.036718
900,0.020825
901.5625,0.027127
903.125,0.028223
904.6875,0.03069
906.25,0.034526
907.8125,0.036444
909.375,0.026716
910.9375,0.020825
912.5,0.027812
914.0625,0.033019
915.625,0.025483
917.1875,0.017674
918.75,0.020414
920.3125,0.025483
921.875,0.025072
923.4375,0.025894
925,0.033019
926.5625,0.033019
928.125,0.037266
929.6875,0.037266
931.25,0.03754
932.8125,0.04028
934.375,0.039732
935.9375,0.090425
937.5,0.160024
939.0625,0.080012
940.625,0.031375
942.1875,0.025072
943.75,0.018359
945.3125,0.011372
946.875,0.020825
948.4375,0.026305
950,0.038362
951.5625,0.032608
953.125,0.023976
954.6875,0.025483
956.25,0.025894
957.8125,0.020825
959.375,0.031786
960.9375,0.033019
962.5,0.061379
964.0625,0.112894
965.625,0.149064
967.1875,0.152352
968.75,0.069052
970.3125,0.063571
971.875,0.060557
973.4375,0.061927
975,0.037266
976.5625,0.044664
978.125,0.055625
979.6875,0.051789
981.25,0.063571
982.8125,0.098097
984.375,0.081656
985.9375,0.053433
987.5,0.039732
989.0625,0.032197
990.625,0.034115
992.1875,0.03617
993.75,0.048775
995.3125,0.04028
996.875,0.03617
998.4375,0.047952
1000,0.064393
1001.563,0.052611
1003.125,0.049049
1004.688,0.034526
1006.25,0.025483
1007.813,0.044664
1009.375,0.105221
1010.938,0.368275
1012.5,0.328817
1014.063,0.092617
1015.625,0.03343
1017.188,0.034526
1018.75,0.036444
1020.313,0.03754
1021.875,0.046308
1023.438,0.026716
1025,0.047404
1026.563,0.04439
1028.125,0.03891
1029.688,0.049323
1031.25,0.070696
1032.813,0.046582
1034.375,0.027127
1035.938,0.030964
1037.5,0.028223
1039.063,0.028634
1040.625,0.027127
1042.188,0.027812
1043.75,0.020825
1045.313,0.03343
1046.875,0.042746
1048.438,0.03617
1050,0.03617
1051.563,0.027812
1053.125,0.028634
1054.688,0.019592
1056.25,0.02151
1057.813,0.030964
1059.375,0.049323
1060.938,0.058913
1062.5,0.084944
1064.063,0.090425
1065.625,0.032608
1067.188,0.025894
1068.75,0.02151
1070.313,0.020003
1071.875,0.021236
1073.438,0.028223
1075,0.031375
1076.563,0.027127
1078.125,0.022332
1079.688,0.028223
1081.25,0.044664
1082.813,0.036718
1084.375,0.026716
1085.938,0.027127
1087.5,0.021236
1089.063,0.049871
1090.625,0.047404
1092.188,0.019181
1093.75,0.018359
1095.313,0.019181
1096.875,0.012536
1098.438,0.019592
1100,0.036444
1101.563,0.046582
1103.125,0.030279
1104.688,0.021236
1106.25,0.013769
1107.813,0.019592
1109.375,0.028634
1110.938,0.053433
1112.5,0.025072
1114.063,0.012947
1115.625,0.018085
1117.188,0.021921
1118.75,0.012947
1120.313,0.014934
1121.875,0.017674
1123.438,0.015687
1125,0.013769
1126.563,0.023154
1128.125,0.031786
1129.688,0.032197
1131.25,0.029046
1132.813,0.020003
1134.375,0.019181
1135.938,0.021236
1137.5,0.02151
1139.063,0.021921
1140.625,0.025894
1142.188,0.02151
1143.75,0.025483
1145.313,0.027127
1146.875,0.023565
1148.438,0.03617
1150,0.035622
1151.563,0.023565
1153.125,0.025072
1154.688,0.027812
1156.25,0.044664
1157.813,0.14468
1159.375,0.596255
1160.938,0.558989
1162.5,0.136459
1164.063,0.044664
1165.625,0.020414
1167.188,0.025072
1168.75,0.028634
1170.313,0.023565
1171.875,0.04713
1173.438,0.099741
1175,0.31128
1176.563,0.272918
1178.125,0.08056
1179.688,0.036718
1181.25,0.034526
1182.813,0.028634
1184.375,0.034937
1185.938,0.035348
1187.5,0.030964
1189.063,0.035622
1190.625,0.027812
1192.188,0.029457
1193.75,0.026305
1195.313,0.022332
1196.875,0.029868
1198.438,0.037266
1200,0.030964
1201.563,0.044664
1203.125,0.03891
1204.688,0.028223
1206.25,0.038088
1207.813,0.11125
1209.375,0.189618
1210.938,0.088781
1212.5,0.031786
1214.063,0.016098
1215.625,0.022332
1217.188,0.020003
1218.75,0.02151
1220.313,0.02151
1221.875,0.032197
1223.438,0.079464
1225,0.079464
1226.563,0.036718
1228.125,0.019181
1229.688,0.016509
1231.25,0.031375
1232.813,0.040828
1234.375,0.050145
1235.938,0.041924
1237.5,0.031786
1239.063,0.034937
1240.625,0.034937
1242.188,0.027812
1243.75,0.023565
1245.313,0.033704
1246.875,0.046308
1248.438,0.282783
1250,0.444999
1251.563,0.232364
1253.125,0.063571
1254.688,0.048227
1256.25,0.092069
1257.813,0.065215
1259.375,0.027812
1260.938,0.03069
1262.5,0.036444
1264.063,0.031375
1265.625,0.029457
1267.188,0.019592
1268.75,0.025072
1270.313,0.032197
1271.875,0.039732
1273.438,0.065215
1275,0.066859
1276.563,0.07234
1278.125,0.04439
1279.688,0.035622
1281.25,0.025483
1282.813,0.018085
1284.375,0.017674
1285.938,0.021236
1287.5,0.040006
1289.063,0.048775
1290.625,0.025894
1292.188,0.022332
1293.75,0.024661
1295.313,0.026716
1296.875,0.027812
1298.438,0.028223
1300,0.030964
1301.563,0.044664
1303.125,0.038362
1304.688,0.018359
1306.25,0.025072
1307.813,0.022332
1309.375,0.029868
1310.938,0.029868
1312.5,0.021921
1314.063,0.038362
1315.625,0.029457
1317.188,0.021236
1318.75,0.023565
1320.313,0.023976
1321.875,0.037266
1323.438,0.106866
1325,0.092069
1326.563,0.092069
1328.125,0.082204
1329.688,0.032197
1331.25,0.023154
1332.813,0.016852
1334.375,0.023154
1335.938,0.022743
1337.5,0.027127
1339.063,0.029457
1340.625,0.026305
1342.188,0.021236
1343.75,0.016852
1345.313,0.011372
1346.875,0.019181
1348.438,0.025894
1350,0.033019
1351.563,0.033019
1353.125,0.050145
1354.688,0.039732
1356.25,0.014523
1357.813,0.021921
1359.375,0.023565
1360.938,0.017674
1362.5,0.023976
1364.063,0.030279
1365.625,0.021236
1367.188,0.018359
1368.75,0.022743
1370.313,0.016852
1371.875,0.017263
1373.438,0.020825
1375,0.027812
1376.563,0.035622
1378.125,0.027127
1379.688,0.01877
1381.25,0.015345
1382.813,0.021236
1384.375,0.014112
1385.938,0.020003
1387.5,0.016509
1389.063,0.02151
1390.625,0.021921
1392.188,0.022743
1393.75,0.027538
1395.313,0.026716
1396.875,0.133719
1398.438,0.207155
1400,0.090973
1401.563,0.03343
1403.125,0.017674
1404.688,0.025072
1406.25,0.040828
1407.813,0.035348
1409.375,0.029046
1410.938,0.026305
1412.5,0.028634
1414.063,0.03069
1415.625,0.021236
1417.188,0.020414
1418.75,0.019181
1420.313,0.019592
1421.875,0.023154
1423.438,0.028223
1425,0.031375
1426.563,0.027812
1428.125,0.026716
1429.688,0.024661
1431.25,0.021921
1432.813,0.029868
1434.375,0.029868
1435.938,0.020825
1437.5,0.012536
1439.063,0.017674
1440.625,0.016098
1442.188,0.020414
1443.75,0.021921
1445.313,0.047404
1446.875,0.040006
1448.438,0.069052
1450,0.139747
1451.563,0.084944
1453.125,0.027538
1454.688,0.022743
1456.25,0.020825
1457.813,0.018085
1459.375,0.018359
1460.938,0.028634
1462.5,0.037266
1464.063,0.03617
1465.625,0.049049
1467.188,0.035622
1468.75,0.030279
1470.313,0.020825
1471.875,0.046308
1473.438,0.052611
1475,0.030964
1476.563,0.029868
1478.125,0.030279
1479.688,0.023154
1481.25,0.023976
1482.813,0.03069
1484.375,0.027538
1485.938,0.045212
1487.5,0.117826
1489.063,0.101933
1490.625,0.038362
1492.188,0.028634
1493.75,0.033019
1495.313,0.026305
1496.875,0.067408
1498.438,0.080012
1500,0.061927
1501.563,0.04165
1503.125,0.039184
1504.688,0.032608
1506.25,0.033019
1507.813,0.028223
1509.375,0.027812
1510.938,0.04439
1512.5,0.061379
1514.063,0.059735
1515.625,0.027538
1517.188,0.027127
1518.75,0.026716
1520.313,0.027812
